"Province","SSP","Period","Month","extremeHeat","spi","futPop","Area","Popdens","Popdenscat","Pop","rh_mean"
"Amnat Charoen","ssp126","2021-2040",1,0,-0.0495783141315562,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.4209804217021
"Amnat Charoen","ssp126","2021-2040",10,0,0.13554942480987,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,72.9709202130636
"Amnat Charoen","ssp126","2021-2040",11,0,-0.180992858313692,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.701455450058
"Amnat Charoen","ssp126","2021-2040",12,1,-0.016500129219294,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.9028327147166
"Amnat Charoen","ssp126","2021-2040",2,1,0.694060520125209,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,70.9505625724792
"Amnat Charoen","ssp126","2021-2040",3,4,0.141011619358766,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,72.9229877471924
"Amnat Charoen","ssp126","2021-2040",4,21,-0.410320643780341,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,75.3611573696137
"Amnat Charoen","ssp126","2021-2040",5,11,0.596153232823009,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,74.9183355172475
"Amnat Charoen","ssp126","2021-2040",6,3,0.86578018860867,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,70.5596772670746
"Amnat Charoen","ssp126","2021-2040",7,0,-0.20068351516541,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,71.416190290451
"Amnat Charoen","ssp126","2021-2040",8,0,0.430737864595873,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.8776941299438
"Amnat Charoen","ssp126","2021-2040",9,0,-0.0997408743496879,225940.592633811,3262.57137600842,69.2523064155113,"Low",373418.8,73.2921637852987
"Amnat Charoen","ssp126","2041-2060",1,1,-0.0495783141315562,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,76.5912614663442
"Amnat Charoen","ssp126","2041-2060",10,1,0.147812530042127,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.0304204146067
"Amnat Charoen","ssp126","2041-2060",11,0,-0.192524914962493,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.8624120394389
"Amnat Charoen","ssp126","2041-2060",12,2,-0.016500129219294,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.5054886341095
"Amnat Charoen","ssp126","2041-2060",2,0,0.693424839097534,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.0144271850586
"Amnat Charoen","ssp126","2041-2060",3,16,-0.0335520346916574,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.9991550445556
"Amnat Charoen","ssp126","2041-2060",4,16,0.0447565448928586,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.4292453130086
"Amnat Charoen","ssp126","2041-2060",5,17,0.198185311254123,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.3424856821696
"Amnat Charoen","ssp126","2041-2060",6,5,0.656496701823898,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.1563864390055
"Amnat Charoen","ssp126","2041-2060",7,2,-0.424067612485201,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,74.0737502733866
"Amnat Charoen","ssp126","2041-2060",8,0,0.581791578669805,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,73.6481838862101
"Amnat Charoen","ssp126","2041-2060",9,2,-0.250986153891124,189061.014163903,3262.57137600842,57.9484683627701,"Low",373418.8,72.987882900238
"Amnat Charoen","ssp126","2061-2080",1,0,-0.0495783141315562,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,74.9549186229706
"Amnat Charoen","ssp126","2061-2080",10,0,0.317993792502915,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.9767697811127
"Amnat Charoen","ssp126","2061-2080",11,0,-0.0975306558335705,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.4969384670258
"Amnat Charoen","ssp126","2061-2080",12,0,-0.016500129219294,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.6597701072693
"Amnat Charoen","ssp126","2061-2080",2,3,0.79634704058647,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,70.7845536549886
"Amnat Charoen","ssp126","2061-2080",3,12,0.0383055826967392,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,74.8528759002685
"Amnat Charoen","ssp126","2061-2080",4,24,-0.0706577401811145,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,77.8508617560069
"Amnat Charoen","ssp126","2061-2080",5,10,0.503335853839357,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.0672550201416
"Amnat Charoen","ssp126","2061-2080",6,7,0.930930791779667,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,71.2042182127635
"Amnat Charoen","ssp126","2061-2080",7,2,0.225444128636962,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,72.2848360061646
"Amnat Charoen","ssp126","2061-2080",8,4,0.809074302392991,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,73.789826409022
"Amnat Charoen","ssp126","2061-2080",9,0,0.0352949317756342,152100.79600018,3262.57137600842,46.619913703242,"Low",373418.8,75.6486361980438
"Amnat Charoen","ssp126","2081-2100",1,1,-0.0495783141315562,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,71.765113735199
"Amnat Charoen","ssp126","2081-2100",10,0,0.418158832371799,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,73.1013878663381
"Amnat Charoen","ssp126","2081-2100",11,0,-0.00590010589132869,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,73.4787688414256
"Amnat Charoen","ssp126","2081-2100",12,2,-0.016500129219294,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,74.3463591416677
"Amnat Charoen","ssp126","2081-2100",2,4,0.891204078940351,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,72.1503792921702
"Amnat Charoen","ssp126","2081-2100",3,19,0.108997713425546,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,73.7181777159373
"Amnat Charoen","ssp126","2081-2100",4,25,0.279180552659799,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,76.005893389384
"Amnat Charoen","ssp126","2081-2100",5,10,0.568455067500291,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,74.5112953186035
"Amnat Charoen","ssp126","2081-2100",6,4,0.693128905244995,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,72.2320246219635
"Amnat Charoen","ssp126","2081-2100",7,1,0.0699891541649986,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,72.151437107722
"Amnat Charoen","ssp126","2081-2100",8,1,0.823508392026132,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,73.1704227765401
"Amnat Charoen","ssp126","2081-2100",9,0,0.164469411924297,122041.411346296,3262.57137600842,37.4065107797296,"Low",373418.8,73.9470464865367
"Amnat Charoen","ssp245","2021-2040",1,2,-0.0495783141315562,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,63.0119599978129
"Amnat Charoen","ssp245","2021-2040",10,0,0.0168864864603909,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,63.6570877234141
"Amnat Charoen","ssp245","2021-2040",11,0,-0.407123094567428,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,72.240666325887
"Amnat Charoen","ssp245","2021-2040",12,1,-0.016500129219294,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,85.3687766075134
"Amnat Charoen","ssp245","2021-2040",2,1,0.694060520125209,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,75.4284744898478
"Amnat Charoen","ssp245","2021-2040",3,4,0.165808460365024,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,87.2928347905477
"Amnat Charoen","ssp245","2021-2040",4,28,-0.221376400877061,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,65.8136572202047
"Amnat Charoen","ssp245","2021-2040",5,11,-0.03529618910319,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,78.0511218070984
"Amnat Charoen","ssp245","2021-2040",6,3,0.645724603425213,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,86.6255160649617
"Amnat Charoen","ssp245","2021-2040",7,0,-0.165905918056615,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,63.7437320550283
"Amnat Charoen","ssp245","2021-2040",8,0,0.702100232055603,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,73.3257838408152
"Amnat Charoen","ssp245","2021-2040",9,0,-0.167696649685474,248293.380798099,3262.57137600842,76.1035858476368,"Low",373418.8,85.1733162879944
"Amnat Charoen","ssp245","2041-2060",1,2,-0.0495783141315562,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,59.9895003636678
"Amnat Charoen","ssp245","2041-2060",10,0,0.257297569186932,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,58.6965825239817
"Amnat Charoen","ssp245","2041-2060",11,0,-0.00409343430585538,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,75.0193001111348
"Amnat Charoen","ssp245","2041-2060",12,2,-0.016500129219294,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,84.854065990448
"Amnat Charoen","ssp245","2041-2060",2,0,0.790572436751238,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,76.7124378840129
"Amnat Charoen","ssp245","2041-2060",3,17,0.106311502193884,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,86.212770652771
"Amnat Charoen","ssp245","2041-2060",4,30,-0.269954072484678,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,58.9919394334157
"Amnat Charoen","ssp245","2041-2060",5,20,0.401111191650484,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,76.9385306040446
"Amnat Charoen","ssp245","2041-2060",6,1,0.979592949433936,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,84.2068289438883
"Amnat Charoen","ssp245","2041-2060",7,0,0.153449290790103,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,59.7878273328145
"Amnat Charoen","ssp245","2041-2060",8,0,0.787212193970395,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,75.2644481976827
"Amnat Charoen","ssp245","2041-2060",9,0,0.00283029525974475,228280.865732764,3262.57137600842,69.9696158102305,"Low",373418.8,83.4436873118083
"Amnat Charoen","ssp245","2061-2080",1,0,-0.0495783141315562,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,62.6986680189768
"Amnat Charoen","ssp245","2061-2080",10,0,0.183366318294236,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,60.170895020167
"Amnat Charoen","ssp245","2061-2080",11,1,-0.38868152872187,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,80.4810649236043
"Amnat Charoen","ssp245","2061-2080",12,0,-0.016500129219294,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,74.7706518332164
"Amnat Charoen","ssp245","2061-2080",2,1,0.781666501326919,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,80.051703675588
"Amnat Charoen","ssp245","2061-2080",3,26,0.179567309900399,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,74.3292765299479
"Amnat Charoen","ssp245","2061-2080",4,30,-0.153147578434914,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,64.1707918485006
"Amnat Charoen","ssp245","2061-2080",5,14,0.478478096173032,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,80.4025992711385
"Amnat Charoen","ssp245","2061-2080",6,6,0.822103982439881,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,74.9759029865265
"Amnat Charoen","ssp245","2061-2080",7,2,-0.183468005578239,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,61.3433718840281
"Amnat Charoen","ssp245","2061-2080",8,1,0.716974766034193,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,78.9753714879354
"Amnat Charoen","ssp245","2061-2080",9,0,0.214599261819634,202549.364666188,3262.57137600842,62.0827382216528,"Low",373418.8,75.7777556419373
"Amnat Charoen","ssp245","2081-2100",1,4,-0.0495783141315562,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,69.7378462791443
"Amnat Charoen","ssp245","2081-2100",10,0,0.414073308730671,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,64.6909108161926
"Amnat Charoen","ssp245","2081-2100",11,0,0.180422399871358,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,80.9537494977315
"Amnat Charoen","ssp245","2081-2100",12,2,-0.016500129219294,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,66.7589106559753
"Amnat Charoen","ssp245","2081-2100",2,3,0.89370727249621,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,82.9935351053874
"Amnat Charoen","ssp245","2081-2100",3,31,0.149907516695821,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,69.5159518400828
"Amnat Charoen","ssp245","2081-2100",4,30,0.0184473977256261,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,70.3128544648488
"Amnat Charoen","ssp245","2081-2100",5,25,0.625914713046966,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,82.145932674408
"Amnat Charoen","ssp245","2081-2100",6,1,0.970610146738624,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,67.9739047050476
"Amnat Charoen","ssp245","2081-2100",7,1,-0.0648858037192635,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,64.4605557441711
"Amnat Charoen","ssp245","2081-2100",8,0,0.66694675840484,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,82.2367296854655
"Amnat Charoen","ssp245","2081-2100",9,0,0.117106796994653,180541.213055356,3262.57137600842,55.3370922037079,"Low",373418.8,68.4934058984121
"Amnat Charoen","ssp370","2021-2040",1,2,-0.0495783141315562,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.6899694919586
"Amnat Charoen","ssp370","2021-2040",10,0,0.00861276569722099,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.480916372935
"Amnat Charoen","ssp370","2021-2040",11,0,-0.464679380958119,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,74.4495886961619
"Amnat Charoen","ssp370","2021-2040",12,1,-0.016500129219294,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,71.791354115804
"Amnat Charoen","ssp370","2021-2040",2,1,0.694060520125209,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,69.5166002750397
"Amnat Charoen","ssp370","2021-2040",3,4,2.19485212795766e-05,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,74.251147143046
"Amnat Charoen","ssp370","2021-2040",4,28,-0.00236991823088984,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.8426305770874
"Amnat Charoen","ssp370","2021-2040",5,11,0.314267075360129,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.098427327474
"Amnat Charoen","ssp370","2021-2040",6,3,0.836296898355201,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.1894823233287
"Amnat Charoen","ssp370","2021-2040",7,0,-0.405128566540794,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,75.795894686381
"Amnat Charoen","ssp370","2021-2040",8,0,0.383967899840027,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,74.5009211381277
"Amnat Charoen","ssp370","2021-2040",9,0,-0.360844780194627,270153.055714424,3262.57137600842,82.8037227632831,"Low",373418.8,70.9428421179453
"Amnat Charoen","ssp370","2041-2060",1,2,-0.0495783141315562,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,72.4894979159037
"Amnat Charoen","ssp370","2041-2060",10,0,0.0269081669521758,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,71.0566693147023
"Amnat Charoen","ssp370","2041-2060",11,0,-0.17753979391454,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,73.6108716964722
"Amnat Charoen","ssp370","2041-2060",12,2,-0.016500129219294,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,71.9083033879598
"Amnat Charoen","ssp370","2041-2060",2,0,0.694060520125209,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,72.4734059174856
"Amnat Charoen","ssp370","2041-2060",3,17,0.115528611649046,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,70.8010955651601
"Amnat Charoen","ssp370","2041-2060",4,30,-0.122873592089033,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,72.1757222970327
"Amnat Charoen","ssp370","2041-2060",5,18,0.544800070483065,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,73.1123061180115
"Amnat Charoen","ssp370","2041-2060",6,2,0.624742815261434,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,71.3608213424683
"Amnat Charoen","ssp370","2041-2060",7,0,-0.142189505160802,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,73.4949775695801
"Amnat Charoen","ssp370","2041-2060",8,0,0.514477531661326,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,71.9800483385722
"Amnat Charoen","ssp370","2041-2060",9,0,-0.0196937116409632,271211.669420176,3262.57137600842,83.1281949613587,"Low",373418.8,71.6528696219126
"Amnat Charoen","ssp370","2061-2080",1,0,-0.0495783141315562,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,72.3569916248321
"Amnat Charoen","ssp370","2061-2080",10,0,0.116805556892601,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,73.7620764255524
"Amnat Charoen","ssp370","2061-2080",11,1,-0.509120997347901,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,73.1307248433431
"Amnat Charoen","ssp370","2061-2080",12,0,-0.016500129219294,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,73.5009281158447
"Amnat Charoen","ssp370","2061-2080",2,1,0.782002703424181,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,72.8271530310313
"Amnat Charoen","ssp370","2061-2080",3,26,0.030978718463246,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,73.7003904342651
"Amnat Charoen","ssp370","2061-2080",4,30,0.105647472353604,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,70.8655961672465
"Amnat Charoen","ssp370","2061-2080",5,14,0.485017084452691,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,70.5517122745514
"Amnat Charoen","ssp370","2061-2080",6,9,0.624442880246718,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,74.9100550969442
"Amnat Charoen","ssp370","2061-2080",7,2,-0.29161893727493,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,71.8144567012787
"Amnat Charoen","ssp370","2061-2080",8,1,0.409773800775691,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,71.2892019430796
"Amnat Charoen","ssp370","2061-2080",9,0,0.0430722283250904,270256.289271633,3262.57137600842,82.8353645406763,"Low",373418.8,71.0960711797078
"Amnat Charoen","ssp370","2081-2100",1,4,-0.0495783141315562,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,73.3095395247142
"Amnat Charoen","ssp370","2081-2100",10,0,0.0779379051471254,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,74.6665246725082
"Amnat Charoen","ssp370","2081-2100",11,0,-0.247072727667223,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,72.3153510888418
"Amnat Charoen","ssp370","2081-2100",12,2,-0.016500129219294,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,71.239340988795
"Amnat Charoen","ssp370","2081-2100",2,4,0.781913055021504,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,72.3576622168223
"Amnat Charoen","ssp370","2081-2100",3,31,-0.0484224389671805,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,70.9077470302582
"Amnat Charoen","ssp370","2081-2100",4,30,-0.231381876509726,278751.055955022,3262.57137600842,85.4390674805893,"Low",373418.8,71.7408291021983
