"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"1",2003,1,"Amnat Charoen",3,0,11,2,40,0,30,1,4
"2",2003,1,"Ang Thong",8,0,1,0,59,0,35,5,2
"3",2003,1,"Bangkok",96,0,76,0,573,0,45,1,3
"4",2003,1,"Buri Ram",19,0,76,0,289,0,23,4,0
"5",2003,1,"Chachoengsao",0,1,20,2,106,0,15,2,1
"6",2003,1,"Chai Nat",5,0,2,0,26,0,26,8,1
"7",2003,1,"Chaiyaphum",13,0,28,1,185,0,24,0,0
"8",2003,1,"Chanthaburi",9,0,64,0,99,0,8,4,1
"9",2003,1,"Chiang Mai",4,1,54,2,407,0,22,1,1
"10",2003,1,"Chiang Rai",2,1,26,0,617,0,23,1,1
"11",2003,1,"Chon Buri",6,0,39,1,90,0,11,1,0
"12",2003,1,"Chumphon",8,1,11,0,54,0,0,0,0
"13",2003,1,"Kalasin",13,0,18,0,55,0,11,2,0
"14",2003,1,"Kamphaeng Phet",14,2,25,0,148,0,13,1,0
"15",2003,1,"Kanchanaburi",2,0,42,0,138,0,10,0,0
"16",2003,1,"Khon Kaen",24,0,36,0,227,0,6,0,0
"17",2003,1,"Krabi",23,1,78,0,95,0,13,0,0
"18",2003,1,"Lampang",1,0,7,5,275,0,20,0,0
"19",2003,1,"Lamphun",2,0,15,0,132,0,13,0,0
"20",2003,1,"Loei",0,0,3,1,43,0,10,0,0
"21",2003,1,"Lop Buri",1,0,7,0,130,0,16,0,0
"22",2003,1,"Mae Hong Son",0,0,7,0,204,0,15,0,0
"23",2003,1,"Maha Sarakham",6,0,27,1,162,0,17,3,0
"24",2003,1,"Mukdahan",1,0,3,0,43,0,5,1,0
"25",2003,1,"Nakhon Nayok",2,0,6,20,17,4,369,1,0
"26",2003,1,"Nakhon Pathom",19,0,25,5,158,1,94,0,0
"27",2003,1,"Nakhon Phanom",5,0,10,3,119,0,94,0,0
"28",2003,1,"Nakhon Ratchasima",14,3,53,14,501,0,80,0,0
"29",2003,1,"Nakhon Sawan",36,1,29,24,141,3,147,0,0
"30",2003,1,"Nakhon Si Thammarat",44,0,93,33,188,3,288,0,0
"31",2003,1,"Nan",1,0,29,9,89,1,76,0,0
"32",2003,1,"Narathiwat",33,0,74,11,264,4,227,0,0
"33",2003,1,"Nong Bua Lam Phu",5,0,8,12,106,4,223,0,0
"34",2003,1,"Nong Khai",1,0,1,8,72,5,343,0,0
"35",2003,1,"Nonthaburi",18,0,69,5,91,11,288,0,0
"36",2003,1,"Pathum Thani",9,0,23,11,121,26,244,0,0
"37",2003,1,"Pattani",15,1,48,4,150,0,81,14,3
"38",2003,1,"Phangnga",16,0,11,3,17,0,50,17,9
"39",2003,1,"Phatthalung",17,2,92,2,164,0,74,17,9
"40",2003,1,"Phayao",0,0,11,8,136,0,51,16,17
"41",2003,1,"Phetchabun",3,0,45,1,89,0,61,30,16
"42",2003,1,"Phetchaburi",4,0,37,3,43,0,60,26,11
"43",2003,1,"Phichit",18,0,0,1,48,0,61,43,12
"44",2003,1,"Phitsanulok",7,0,27,1,139,0,44,33,6
"45",2003,1,"Phra Nakhon Si Ayutthaya",3,0,6,2,273,0,52,54,6
"46",2003,1,"Phrae",0,0,7,1,72,1,96,57,9
